Player,Nation,Born,Min,MP,Gls,Ast,npxG,xAG,KP,PrgP,PrgC,Tkl,Int,Succ,Age,Squad,Comp,Pos,position_group,npxG_per90,xAG_per90,KP_per90,PrgP_per90,PrgC_per90,Tkl_per90,Int_per90,Succ_per90,npxG_per90_pct,xAG_per90_pct,KP_per90_pct,PrgP_per90_pct,PrgC_per90_pct,Tkl_per90_pct,Int_per90_pct,Succ_per90_pct,player_id,player_name,minutes_played,npxG_per90_scaled,xAG_per90_scaled,KP_per90_scaled,PrgP_per90_scaled,PrgC_per90_scaled,Tkl_per90_scaled,Int_per90_scaled,Succ_per90_scaled,cluster_id,cluster_name,gmm_probabilities_json,pca_x,pca_y,photo_ref,photo_validated,photo_rejection_reason
Aaron Cresswell,eng ENG,1989.0,824,18,0,0,0.2,1.3,9,36,6,11,8,1,34.0,West Ham,eng Premier League,DF,Defender,0.022,0.142,0.983,3.932,0.655,1.201,0.874,0.109,28.1,88.6,80.3,66.0,32.5,18.6,36.1,20.0,aaron_cresswell_eng_eng_1989_0,Aaron Cresswell,824,-0.7945704180115913,0.5206483040931507,0.0750616705268476,0.1823890086537439,-0.8108165224026677,-0.6004708823868996,0.1446153087750217,-0.9796290474024332,1,Stopper / Defensive Destroyer,"{""Stopper / Defensive Destroyer"": 0.0, ""Attacking Fullback / Playmaker"": 0.9959, ""Ball-Playing Defender"": 0.0041}",-0.657,-0.012,https://commons.wikimedia.org/wiki/Special:FilePath/Hertha_BSC_vs._West_Ham_United_20190731_%28124%29_%28cropped%29.jpg,True,
Aaron Wan-Bissaka,eng ENG,1997.0,3154,36,2,5,1.2,3.5,33,149,110,70,66,64,26.0,West Ham,eng Premier League,DF,Defender,0.034,0.1,0.942,4.252,3.139,1.997,1.883,1.826,42.8,80.1,78.5,74.7,95.7,66.9,96.1,99.1,aaron_wan_bissaka_eng_eng_1997_0,Aaron Wan-Bissaka,3154,-0.7073004898870762,0.0127962819902519,0.0115631551166551,0.3694922639718125,1.1010818641248905,0.4369140556980269,2.227622450310467,1.684218434251891,0,Ball-Playing Defender,"{""Stopper / Defensive Destroyer"": 0.0, ""Attacking Fullback / Playmaker"": 0.9999, ""Ball-Playing Defender"": 0.0001}",0.118,1.982,https://commons.wikimedia.org/wiki/Special:FilePath/Aaron_Wan-Bissaka_of_West_Ham_United.jpeg,True,
Aarón Martín,es ESP,1997.0,3085,36,0,8,0.9,5.5,65,90,50,71,19,12,27.0,Genoa,it Serie A,DF,Defender,0.026,0.16,1.896,2.626,1.459,2.071,0.554,0.35,33.3,92.4,97.2,26.9,62.1,69.8,9.2,54.3,aar_n_mart_n_es_esp_1997_0,Aarón Martín,3085,-0.7654804419700862,0.7382991707086789,1.4890651966123525,-0.5812261521131241,-0.191989508405825,0.5333543640124548,-0.5160014259042074,-0.6057284981428572,0,Ball-Playing Defender,"{""Stopper / Defensive Destroyer"": 0.0, ""Attacking Fullback / Playmaker"": 1.0, ""Ball-Playing Defender"": 0.0}",0.479,0.432,,False,Disambiguation page (ambiguous match)
Abakar Sylla,ci CIV,2002.0,950,21,1,0,0.4,0.1,1,21,0,27,11,3,21.0,Strasbourg,fr Ligue 1,DF,Defender,0.038,0.009,0.095,1.989,0.0,2.558,1.042,0.284,47.0,17.1,8.5,10.3,0.7,89.2,54.3,46.8,abakar_sylla_ci_civ_2002_0,Abakar Sylla,950,-0.6782105138455711,-1.0875497658993627,-1.3002232486012226,-0.9536785697306546,-1.3149604206214884,1.168035852514162,0.4914390944816172,-0.7081244991848988,1,Stopper / Defensive Destroyer,"{""Stopper / Defensive Destroyer"": 0.9018, ""Attacking Fullback / Playmaker"": 0.0013, ""Ball-Playing Defender"": 0.0969}",-2.561,-0.277,https://commons.wikimedia.org/wiki/Special:FilePath/Sylla_asse_rcsa_2425.jpg,True,
Abdallah Sima,sn SEN,2001.0,1238,27,7,2,5.9,1.0,13,24,36,15,1,6,23.0,Brest,fr Ligue 1,"FW,MF",Forward,0.429,0.073,0.945,1.745,2.617,1.09,0.073,0.436,82.6,19.2,35.4,32.2,59.4,54.4,10.4,16.9,abdallah_sima_sn_sen_2001_0,Abdallah Sima,1238,2.1653346442115446,-0.3136800179330404,0.0162093879515472,-1.096344801910682,0.6993061162314183,-0.7451313448585414,-1.508990955218924,-0.4723034058759545,0,Clinical Finisher / Poacher,"{""Clinical Finisher / Poacher"": 0.9904, ""Dynamic Winger / Dribbler"": 0.0096}",1.245,-2.411,https://commons.wikimedia.org/wiki/Special:FilePath/Sima_asse_sb_2425.png,True,
Abde Ezzalzouli,ma MAR,2001.0,1984,32,2,2,7.2,2.0,27,68,117,37,7,46,22.0,Betis,es La Liga,"FW,MF",Forward,0.327,0.091,1.225,3.085,5.307,1.678,0.318,2.087,68.3,29.5,53.4,73.8,94.0,87.4,55.7,88.7,abde_ezzalzouli_ma_mar_2001_0,Abde Ezzalzouli,1984,1.4235402551531666,-0.0960291513175122,0.4498577858748129,-0.3128499202662692,2.769759682962148,0.0211781320182634,-1.003206267730139,2.0891480747363285,1,Dynamic Winger / Dribbler,"{""Clinical Finisher / Poacher"": 0.0004, ""Dynamic Winger / Dribbler"": 0.9996}",2.95,-0.24,https://commons.wikimedia.org/wiki/Special:FilePath/Abdessamad_Ezzalzouli_Morocco_v_Norway_7_June_2026-38.jpg,True,
Abdel Abqar,ma MAR,1999.0,2463,29,0,1,0.9,0.3,8,79,16,36,39,3,25.0,Alavés,es La Liga,DF,Defender,0.033,0.011,0.292,2.887,0.585,1.315,1.425,0.11,41.4,20.6,37.2,35.7,27.7,25.5,82.9,20.3,abdel_abqar_ma_mar_1999_0,Abdel Abqar,2463,-0.7145729838974524,-1.063366336275415,-0.9951206257766396,-0.4286200594943242,-0.8646944962581142,-0.4519006776862947,1.2821147488008198,-0.9780775928411902,1,Stopper / Defensive Destroyer,"{""Stopper / Defensive Destroyer"": 0.993, ""Attacking Fullback / Playmaker"": 0.0001, ""Ball-Playing Defender"": 0.0069}",-2.3,-0.406,https://commons.wikimedia.org/wiki/Special:FilePath/Abqar.jpg,True,
Abdou Harroui,nl NED,1998.0,463,10,1,2,2.2,0.4,4,21,23,9,2,6,26.0,Hellas Verona,it Serie A,"MF,FW",Midfielder,0.428,0.078,0.778,4.082,4.471,1.749,0.389,1.166,99.2,41.6,32.5,44.1,97.8,42.6,14.7,77.4,abdou_harroui_nl_ned_1998_0,Abdou Harroui,463,2.158062150201168,-0.2532214438731714,-0.2424309065241145,0.2700936595840886,2.1263027380599584,0.1137086981037282,-0.856631929723185,0.660258423831475,0,Deep-Lying Playmaker,"{""Box-to-Box / Pressing Engine"": 0.0, ""Deep-Lying Playmaker"": 1.0}",1.926,-0.618,https://commons.wikimedia.org/wiki/Special:FilePath/Abdou_Harroui.jpg,True,
Abdoulaye Bamba,ci CIV,1990.0,1510,19,0,0,0.1,0.3,6,16,1,22,19,2,34.0,Angers,fr Ligue 1,DF,Defender,0.006,0.018,0.358,0.954,0.06,1.311,1.132,0.119,7.0,30.3,44.9,0.1,1.9,25.3,62.6,21.8,abdoulaye_bamba_ci_civ_1990_0,Abdoulaye Bamba,1510,-0.9109303221776112,-0.9787243325915984,-0.8929035034090127,-1.5588406611500332,-1.268779300173963,-0.4571136673249124,0.6772375511101502,-0.9641145017900028,1,Stopper / Defensive Destroyer,"{""Stopper / Defensive Destroyer"": 0.9892, ""Attacking Fullback / Playmaker"": 0.0011, ""Ball-Playing Defender"": 0.0098}",-2.304,-1.2,https://commons.wikimedia.org/wiki/Special:FilePath/Bamba_asse_sco_2425.png,True,
Abdoulaye Doucouré,ml MLI,1993.0,2564,33,3,2,4.1,2.4,28,82,42,48,10,24,31.0,Everton,eng Premier League,MF,Midfielder,0.144,0.084,0.983,2.878,1.474,1.685,0.351,0.842,72.9,45.4,47.4,16.3,53.2,38.8,10.9,61.4,abdoulaye_doucour__ml_mli_1993_0,Abdoulaye Doucouré,2564,0.0926738512543118,-0.1806711550013286,0.0750616705268476,-0.4338823385501449,-0.1804442282939437,0.0303008638858446,-0.9350801669663436,0.1575871459887255,1,Box-to-Box / Pressing Engine,"{""Box-to-Box / Pressing Engine"": 0.852, ""Deep-Lying Playmaker"": 0.148}",0.255,-0.631,https://commons.wikimedia.org/wiki/Special:FilePath/Stade_rennais_-_Le_Havre_AC_20150708_40.JPG,True,
